s lambda f_ref adapted2 nu12 gap2 adapted3 nu13 gap3 adapted4 nu14 gap4
0.066666666667 0.994387720634 0.974507449260 0.545345886762 0.317740042838 0.227605843924 0.280524040250 0.109359348804 0.171164691446 0.089203042238 0.005650501788 0.083552540450
0.068333333333 0.994100514890 0.974226370573 0.543102384986 0.313469179067 0.229633205919 0.278216572728 0.106507930673 0.171708642055 0.087809253115 0.004982564484 0.082826688631
0.070000000000 0.993805902089 0.973938042844 0.540841628178 0.309272189296 0.231569438883 0.275898143078 0.103728082436 0.172170060641 0.086413169090 0.004364715871 0.082048453219
0.071666666667 0.993503858034 0.973642442396 0.538563841601 0.305146862239 0.233416979362 0.273569116604 0.101017431508 0.172551685096 0.085015186959 0.003795057799 0.081220129161
0.073333333333 0.993194357808 0.973339544841 0.536269251289 0.301091092178 0.235178159111 0.271229858812 0.098373724573 0.172856134239 0.083615703318 0.003271793128 0.080343910190
0.075000000000 0.992877375760 0.973029325077 0.533958083820 0.297102871763 0.236855212057 0.268880735176 0.095794819333 0.173085915843 0.082215114407 0.002793218639 0.079421895768
0.076666666667 0.992552885493 0.972711757269 0.531630566096 0.293180285456 0.238450280640 0.266522110930 0.093278676991 0.173243433939 0.080813815973 0.002357718571 0.078456097402
0.078333333333 0.992220859852 0.972386814842 0.529286925135 0.289321503535 0.239965421600 0.264154350865 0.090823355387 0.173330995478 0.079412203138 0.001963758724 0.077448444415
0.080000000000 0.991881270913 0.972054470467 0.526927387871 0.285524776611 0.241402611260 0.261777819142 0.088427002718 0.173350816424 0.078010670286 0.001609881073 0.076400789213
0.081666666667 0.991534089969 0.971714696050 0.524552180966 0.281788430595 0.242763750372 0.259392879120 0.086087851785 0.173305027334 0.076609610955 0.001294698828 0.075314912127
0.083333333333 0.991179287517 0.971367462716 0.522161530631 0.278110862077 0.244050668554 0.256999893189 0.083804214709 0.173195678479 0.075209417749 0.001016891904 0.074192525845
0.085000000000 0.990816833244 0.971012740801 0.519755662455 0.274490534074 0.245265128381 0.254599222623 0.081574478069 0.173024744554 0.073810482259 0.000775202759 0.073035279501
0.086666666667 0.990446696012 0.970650499830 0.517334801247 0.270925972108 0.246408829138 0.252191227443 0.079397098429 0.172794129014 0.072413194992 0.000568432560 0.071844762432
0.088333333333 0.990068843845 0.970280708510 0.514899170882 0.267415760586 0.247483410296 0.249776266287 0.077270598206 0.172505668080 0.071017945315 0.000395437654 0.070622507661
0.090000000000 0.989683243913 0.969903334710 0.512448994167 0.263958539454 0.248490454713 0.247354696295 0.075193561855 0.172161134440 0.069625121407 0.000255126297 0.069369995110
0.091666666667 0.989289862515 0.969518345448 0.509984492698 0.260553001096 0.249431491602 0.244926873009 0.073164632338 0.171762240671 0.068235110228 0.000146455646 0.068088654581
0.093333333333 0.988888665062 0.969125706874 0.507505886745 0.257197887459 0.250307999286 0.242493150274 0.071182507850 0.171310642424 0.066848297486 0.000068428963 0.066779868523
0.095000000000 0.988479616063 0.968725384254 0.505013395131 0.253891987385 0.251121407746 0.240053880157 0.069245938785 0.170807941373 0.065465067630 0.000020093024 0.065444974607
0.096666666667 0.988062679105 0.968317341951 0.502507235127 0.250634134127 0.251873101000 0.237609412875 0.067353724912 0.170255687962 0.064085803836 0.000000535716 0.064085268120
0.098333333333 0.987637816835 0.967901543410 0.499987622353 0.247423203040 0.252564419313 0.235160096725 0.065504712756 0.169655383969 0.062710888013 0.000000000000 0.062710888013
0.100000000000 0.987204990941 0.967477951135 0.497454770682 0.244258109419 0.253196661263 0.232706278037 0.063697793145 0.169008484892 0.061340700817 0.000000000000 0.061340700817
0.101666666667 0.986764162133 0.967046526674 0.494908892160 0.241137806498 0.253771085662 0.230248301123 0.061931898940 0.168316402182 0.059975621667 0.000000000000 0.059975621667
